dtm_model,dataset,llm,topic_idx,year_start,year_end,label,justification,raw
DETM,neurips,deepseek,10,2017,2019,,,
DETM,neurips,deepseek,11,1987,1989,,,
DETM,neurips,deepseek,11,1990,1992,,,
DETM,neurips,deepseek,11,1993,1995,,,
DETM,neurips,deepseek,11,1996,1998,,,
DETM,neurips,deepseek,11,1999,2001,,,
DETM,neurips,deepseek,11,2002,2004,,,
DETM,neurips,deepseek,11,2005,2007,,,
DETM,neurips,deepseek,11,2008,2010,,,
DETM,neurips,deepseek,11,2011,2013,,,
DETM,neurips,deepseek,11,2014,2016,,,
DETM,neurips,deepseek,11,2017,2019,,,
DETM,neurips,deepseek,12,1987,1989,,,
DETM,neurips,deepseek,12,1990,1992,,,
DETM,neurips,deepseek,12,1993,1995,,,
DETM,neurips,deepseek,12,1996,1998,,,
DETM,neurips,deepseek,12,1999,2001,,,
DETM,neurips,deepseek,12,2002,2004,,,
DETM,neurips,deepseek,12,2005,2007,,,
DETM,neurips,deepseek,12,2008,2010,,,
DETM,neurips,deepseek,12,2011,2013,,,
DETM,neurips,deepseek,12,2014,2016,,,
DETM,neurips,deepseek,12,2017,2019,,,
DETM,neurips,deepseek,13,1987,1989,,,
DETM,neurips,deepseek,13,1990,1992,,,
DETM,neurips,deepseek,13,1993,1995,,,
DETM,neurips,deepseek,13,1996,1998,,,
DETM,neurips,deepseek,13,1999,2001,,,
DETM,neurips,deepseek,13,2002,2004,,,
DETM,neurips,deepseek,13,2005,2007,,,
DETM,neurips,deepseek,13,2008,2010,,,
DETM,neurips,deepseek,13,2011,2013,,,
DETM,neurips,deepseek,13,2014,2016,,,
DETM,neurips,deepseek,13,2017,2019,,,
DETM,neurips,deepseek,14,1987,1989,,,
DETM,neurips,deepseek,14,1990,1992,,,
DETM,neurips,deepseek,14,1993,1995,,,
DETM,neurips,deepseek,14,1996,1998,,,
DETM,neurips,deepseek,14,1999,2001,,,
DETM,neurips,deepseek,14,2002,2004,,,
DETM,neurips,deepseek,14,2005,2007,,,
DETM,neurips,deepseek,14,2008,2010,,,
DETM,neurips,deepseek,14,2011,2013,,,
DETM,neurips,deepseek,14,2014,2016,,,
DETM,neurips,deepseek,14,2017,2019,,,
DETM,neurips,deepseek,15,1987,1989,,,
DETM,neurips,deepseek,15,1990,1992,,,
DETM,neurips,deepseek,15,1993,1995,,,
DETM,neurips,deepseek,15,1996,1998,,,
DETM,neurips,deepseek,15,1999,2001,,,
DETM,neurips,deepseek,15,2002,2004,,,
DETM,neurips,deepseek,15,2005,2007,,,
DETM,neurips,deepseek,15,2008,2010,,,
DETM,neurips,deepseek,15,2011,2013,,,
DETM,neurips,deepseek,15,2014,2016,,,
DETM,neurips,deepseek,15,2017,2019,,,
DETM,neurips,deepseek,16,1987,1989,,,
DETM,neurips,deepseek,16,1990,1992,,,
DETM,neurips,deepseek,16,1993,1995,,,
DETM,neurips,deepseek,16,1996,1998,,,
DETM,neurips,deepseek,16,1999,2001,,,
DETM,neurips,deepseek,16,2002,2004,,,
DETM,neurips,deepseek,16,2005,2007,,,
DETM,neurips,deepseek,16,2008,2010,,,
DETM,neurips,deepseek,16,2011,2013,,,
DETM,neurips,deepseek,16,2014,2016,,,
DETM,neurips,deepseek,16,2017,2019,,,
DETM,neurips,deepseek,17,1987,1989,,,
DETM,neurips,deepseek,17,1990,1992,,,
DETM,neurips,deepseek,17,1993,1995,,,
DETM,neurips,deepseek,17,1996,1998,,,
DETM,neurips,deepseek,17,1999,2001,,,
DETM,neurips,deepseek,17,2002,2004,,,
DETM,neurips,deepseek,17,2005,2007,,,
DETM,neurips,deepseek,17,2008,2010,,,
DETM,neurips,deepseek,17,2011,2013,,,
DETM,neurips,deepseek,17,2014,2016,,,
DETM,neurips,deepseek,17,2017,2019,,,
DETM,neurips,deepseek,18,1987,1989,,,
DETM,neurips,deepseek,18,1990,1992,,,
DETM,neurips,deepseek,18,1993,1995,,,
DETM,neurips,deepseek,18,1996,1998,,,
DETM,neurips,deepseek,18,1999,2001,,,
DETM,neurips,deepseek,18,2002,2004,,,
DETM,neurips,deepseek,18,2005,2007,,,
DETM,neurips,deepseek,18,2008,2010,,,
DETM,neurips,deepseek,18,2011,2013,,,
DETM,neurips,deepseek,18,2014,2016,,,
DETM,neurips,deepseek,18,2017,2019,,,
DETM,neurips,deepseek,19,1987,1989,,,
DETM,neurips,deepseek,19,1990,1992,,,
DETM,neurips,deepseek,19,1993,1995,,,
DETM,neurips,deepseek,19,1996,1998,,,
DETM,neurips,deepseek,19,1999,2001,,,
DETM,neurips,deepseek,19,2002,2004,,,
DETM,neurips,deepseek,19,2005,2007,,,
DETM,neurips,deepseek,19,2008,2010,,,
DETM,neurips,deepseek,19,2011,2013,,,
DETM,neurips,deepseek,19,2014,2016,,,
DETM,neurips,deepseek,19,2017,2019,,,
